Latitude,Longitude
49.8924,8.6122
49.8913,8.61432
49.8912,8.61451
49.8901,8.61643
49.8583,8.63387
49.8583,8.6338
49.8682,8.63402
49.8683,8.63401
49.8683,8.634
49.8686,8.6339
49.8695,8.63357
49.8696,8.63352
49.8853,8.62599
49.8851,8.62749
49.885,8.62784
49.885,8.6281
49.885,8.62817
49.8152,8.63042
49.8153,8.63041
49.8154,8.63042
49.8154,8.63046
49.8524,8.67064
49.8524,8.67076
49.8213,8.7
49.8212,8.69993
49.82,8.69814
49.8196,8.69767
49.8508,8.62173
49.8509,8.62182
49.8511,8.62218
49.8515,8.62278
49.8528,8.62488
49.8536,8.6262
49.8539,8.62672
49.8213,8.6442
49.8212,8.64419
49.8212,8.64419
49.8203,8.64414
49.8126,8.66814
49.8124,8.66813
49.8124,8.66815
49.8123,8.66818
49.8123,8.66824
49.8122,8.66835
49.8121,8.66849
49.812,8.6686
49.812,8.6687
49.812,8.66882
49.812,8.66893
49.812,8.66919
49.8121,8.66957
49.8121,8.66964
49.8121,8.6697
49.8121,8.66979
49.8121,8.66984
49.812,8.66989
49.812,8.66992
49.812,8.66996
49.8119,8.67006
49.8115,8.67045
49.8112,8.67079
49.813,8.66829
49.8126,8.66814
49.8731,8.66252
49.873,8.66251
49.8896,8.65295
49.8897,8.65303
49.8897,8.65315
49.8897,8.65319
49.8897,8.65343
49.8833,8.6376
49.8832,8.63829
49.8832,8.63835
49.8831,8.63859
49.8901,8.61643
49.8899,8.61672
49.8899,8.6168
49.8899,8.61682
49.8759,8.67078
49.8759,8.67076
49.8758,8.67077
49.8112,8.67079
49.8111,8.67105
49.811,8.67132
49.8107,8.67178
49.8106,8.67211
49.8106,8.67211
49.8105,8.67229
49.8104,8.67242
49.8103,8.67253
49.8103,8.67253
49.8103,8.67266
49.8102,8.67273
49.8102,8.67279
49.8102,8.67282
49.8101,8.67286
49.8101,8.67289
49.81,8.67291
49.8098,8.67296
49.8096,8.67307
49.8094,8.67325
49.8092,8.67354
49.809,8.674
49.8086,8.67498
49.8084,8.67534
49.8082,8.67577
49.808,8.67622
49.8079,8.67654
49.8077,8.67692
49.8074,8.67721
49.8072,8.67763
49.8071,8.67801
49.8763,8.66169
49.8762,8.66172
49.8762,8.66178
